,home_team,away_team,winning_team,Unnamed: 0_x,home_ranking,Unnamed: 0_y,away_ranking
297,Argentina,Uruguay,Uruguay,4.0,5.0,13.0,14.0
298,Brazil,Argentina,Brazil,1.0,2.0,4.0,5.0
299,Argentina,Paraguay,Argentina,4.0,5.0,31.0,32.0
300,England,Northern Ireland,England,12.0,13.0,28.0,29.0
301,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
302,Brazil,Paraguay,Brazil,1.0,2.0,31.0,32.0
303,Brazil,Argentina,Brazil,1.0,2.0,4.0,5.0
304,Brazil,Paraguay,Brazil,1.0,2.0,31.0,32.0
305,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
306,Switzerland,Netherlands,Switzerland,5.0,6.0,16.0,17.0
307,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
308,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
309,Portugal,Spain,Spain,3.0,4.0,9.0,10.0
310,Switzerland,Austria,Switzerland,5.0,6.0,25.0,26.0
311,Spain,France,Spain,9.0,10.0,6.0,7.0
312,Belgium,Spain,Belgium,2.0,3.0,9.0,10.0
313,Belgium,France,Belgium,2.0,3.0,6.0,7.0
314,Switzerland,Hungary,Hungary,5.0,6.0,50.0,51.0
315,England,Belgium,England,12.0,13.0,2.0,3.0
316,France,Switzerland,Draw,6.0,7.0,5.0,6.0
317,France,England,England,6.0,7.0,12.0,13.0
318,Germany,Netherlands,Draw,0.0,1.0,16.0,17.0
319,Argentina,Paraguay,Paraguay,4.0,5.0,31.0,32.0
320,Sweden,England,England,23.0,24.0,12.0,13.0
321,Japan,China PR,China PR,60.0,61.0,74.0,75.0
322,Sweden,England,England,23.0,24.0,12.0,13.0
323,Argentina,Paraguay,Argentina,4.0,5.0,31.0,32.0
324,Poland,Yugoslavia,Yugoslavia,7.0,8.0,212.0,212.0
325,Switzerland,Germany,Germany,5.0,6.0,0.0,1.0
326,Australia,New Zealand,Australia,35.0,36.0,119.0,120.0
327,Sweden,Austria,Sweden,23.0,24.0,25.0,26.0
328,Australia,New Zealand,New Zealand,35.0,36.0,119.0,120.0
329,Denmark,Switzerland,Denmark,11.0,12.0,5.0,6.0
330,Sweden,Finland,Sweden,23.0,24.0,62.0,63.0
331,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
332,Sweden,Germany,Sweden,23.0,24.0,0.0,1.0
333,Australia,New Zealand,New Zealand,35.0,36.0,119.0,120.0
334,Argentina,Uruguay,Draw,4.0,5.0,13.0,14.0
335,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
336,Germany,Finland,Finland,0.0,1.0,62.0,63.0
337,Poland,Romania,Draw,7.0,8.0,29.0,30.0
338,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
339,Uruguay,Argentina,Argentina,13.0,14.0,4.0,5.0
340,Sweden,Denmark,Denmark,23.0,24.0,11.0,12.0
341,France,Norway,Norway,6.0,7.0,52.0,53.0
342,Argentina,Paraguay,Argentina,4.0,5.0,31.0,32.0
343,Belgium,England,Draw,2.0,3.0,12.0,13.0
344,Poland,Sweden,Draw,7.0,8.0,23.0,24.0
345,Germany,Norway,Germany,0.0,1.0,52.0,53.0
346,Uruguay,Paraguay,Uruguay,13.0,14.0,31.0,32.0
347,Brazil,Paraguay,Paraguay,1.0,2.0,31.0,32.0
348,Argentina,Brazil,Argentina,4.0,5.0,1.0,2.0
349,Brazil,Paraguay,Brazil,1.0,2.0,31.0,32.0
350,Uruguay,Chile,Uruguay,13.0,14.0,8.0,9.0
351,Uruguay,Brazil,Uruguay,13.0,14.0,1.0,2.0
352,Argentina,Brazil,Brazil,4.0,5.0,1.0,2.0
353,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
354,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
355,Argentina,Brazil,Argentina,4.0,5.0,1.0,2.0
356,Mexico,Guatemala,Mexico,14.0,15.0,145.0,146.0
357,Mexico,Guatemala,Mexico,14.0,15.0,145.0,146.0
358,Mexico,Guatemala,Draw,14.0,15.0,145.0,146.0
359,Spain,Portugal,Spain,9.0,10.0,3.0,4.0
360,France,Belgium,France,6.0,7.0,2.0,3.0
361,Germany,Austria,Germany,0.0,1.0,25.0,26.0
362,England,Wales,Wales,12.0,13.0,17.0,18.0
363,Switzerland,France,Switzerland,5.0,6.0,6.0,7.0
364,England,Scotland,Draw,12.0,13.0,41.0,42.0
365,Switzerland,Denmark,Switzerland,5.0,6.0,11.0,12.0
366,Belgium,Netherlands,Draw,2.0,3.0,16.0,17.0
367,France,England,England,6.0,7.0,12.0,13.0
368,Sweden,Poland,Sweden,23.0,24.0,7.0,8.0
369,Switzerland,Hungary,Switzerland,5.0,6.0,50.0,51.0
370,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
371,Uruguay,Argentina,Uruguay,13.0,14.0,4.0,5.0
372,Egypt,Lithuania,Egypt,44.0,45.0,125.0,126.0
373,France,Hungary,Hungary,6.0,7.0,50.0,51.0
374,Australia,Canada,Australia,35.0,36.0,79.0,80.0
375,Poland,United States,United States,7.0,8.0,24.0,25.0
376,Australia,Canada,Canada,35.0,36.0,79.0,80.0
377,Denmark,Sweden,Sweden,11.0,12.0,23.0,24.0
378,Australia,Canada,Australia,35.0,36.0,79.0,80.0
379,Australia,Canada,Draw,35.0,36.0,79.0,80.0
380,Poland,Turkey,Poland,7.0,8.0,37.0,38.0
381,Sweden,Egypt,Sweden,23.0,24.0,44.0,45.0
382,Australia,Canada,Canada,35.0,36.0,79.0,80.0
383,Sweden,Estonia,Sweden,23.0,24.0,93.0,94.0
384,Australia,Canada,Australia,35.0,36.0,79.0,80.0
385,Poland,Finland,Poland,7.0,8.0,62.0,63.0
386,Germany,Sweden,Sweden,0.0,1.0,23.0,24.0
387,Sweden,Norway,Sweden,23.0,24.0,52.0,53.0
388,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
389,Argentina,Uruguay,Argentina,4.0,5.0,13.0,14.0
390,Denmark,Belgium,Denmark,11.0,12.0,2.0,3.0
391,Argentina,Paraguay,Draw,4.0,5.0,31.0,32.0
392,Uruguay,Chile,Uruguay,13.0,14.0,8.0,9.0
393,England,Northern Ireland,England,12.0,13.0,28.0,29.0
394,Argentina,Chile,Argentina,4.0,5.0,8.0,9.0
395,Uruguay,Paraguay,Uruguay,13.0,14.0,31.0,32.0
396,Uruguay,Argentina,Draw,13.0,14.0,4.0,5.0
397,Belgium,France,Belgium,2.0,3.0,6.0,7.0
398,Russia,Turkey,Russia,69.0,70.0,37.0,38.0
399,Germany,Italy,Italy,0.0,1.0,18.0,19.0
400,England,Belgium,England,12.0,13.0,2.0,3.0
401,Germany,Switzerland,Draw,0.0,1.0,5.0,6.0
402,Spain,Austria,Spain,9.0,10.0,25.0,26.0
403,Belgium,Netherlands,Netherlands,2.0,3.0,16.0,17.0
404,France,Austria,Austria,6.0,7.0,25.0,26.0
405,Switzerland,Netherlands,Switzerland,5.0,6.0,16.0,17.0
406,France,England,England,6.0,7.0,12.0,13.0
407,Switzerland,Belgium,Draw,5.0,6.0,2.0,3.0
408,Switzerland,Spain,Spain,5.0,6.0,9.0,10.0
409,Sweden,Finland,Sweden,23.0,24.0,62.0,63.0
410,Spain,Italy,Spain,9.0,10.0,18.0,19.0
411,Sweden,Denmark,Denmark,23.0,24.0,11.0,12.0
412,Portugal,Italy,Portugal,3.0,4.0,18.0,19.0
413,Denmark,Norway,Denmark,11.0,12.0,52.0,53.0
414,Sweden,Germany,Sweden,23.0,24.0,0.0,1.0
415,Sweden,Austria,Austria,23.0,24.0,25.0,26.0
416,Argentina,Paraguay,Draw,4.0,5.0,31.0,32.0
417,Argentina,Paraguay,Draw,4.0,5.0,31.0,32.0
418,Sweden,Hungary,Sweden,23.0,24.0,50.0,51.0
419,Uruguay,Paraguay,Paraguay,13.0,14.0,31.0,32.0
420,Uruguay,Paraguay,Paraguay,13.0,14.0,31.0,32.0
421,Poland,Hungary,Hungary,7.0,8.0,50.0,51.0
422,Denmark,Finland,Draw,11.0,12.0,62.0,63.0
423,Switzerland,Germany,Germany,5.0,6.0,0.0,1.0
424,Poland,Sweden,Sweden,7.0,8.0,23.0,24.0
425,Switzerland,Austria,Switzerland,5.0,6.0,25.0,26.0
426,Argentina,Paraguay,Argentina,4.0,5.0,31.0,32.0
427,Brazil,Paraguay,Brazil,1.0,2.0,31.0,32.0
428,Argentina,Brazil,Argentina,4.0,5.0,1.0,2.0
429,Belgium,Austria,Austria,2.0,3.0,25.0,26.0
430,Brazil,Paraguay,Brazil,1.0,2.0,31.0,32.0
431,Argentina,Paraguay,Argentina,4.0,5.0,31.0,32.0
432,Argentina,Brazil,Draw,4.0,5.0,1.0,2.0
